Election_Date,Comune,Provincia,Regione,Circoscrizione
1987-06-14,ARIZZANO,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ARLENA DI CASTRO,VITERBO,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARLUNO,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,ARMENO,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ARMENTO,POTENZA,BASILICATA,POTENZA-MATERA
1987-06-14,ARMO,IMPERIA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,ARMUNGIA,CAGLIARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARNAD,AOSTA,VALLE D'AOSTA,AOSTA
1987-06-14,ARNARA,FROSINONE,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARNASCO,SAVONA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,ARNESANO,LECCE,PUGLIA,LECCE-BRINDISI-TARANTO
1987-06-14,AROLA,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ARONA,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,AROSIO,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ARPAIA,BENEVENTO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ARPAISE,BENEVENTO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ARPINO,FROSINONE,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARQUA' PETRARCA,PADOVA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARQUA' POLESINE,ROVIGO,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARQUATA DEL TRONTO,ASCOLI PICENO,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,ARQUATA SCRIVIA,ALESSANDRIA,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ARRE,PADOVA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARRONE,TERNI,UMBRIA,PERUGIA-TERNI-RIETI
1987-06-14,ARSAGO SEPRIO,VARESE,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ARSIE',BELLUNO,VENETO,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ARSIERO,VICENZA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARSITA,TERAMO,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ARSOLI,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARTA TERME,UDINE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ARTEGNA,UDINE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ARTENA,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ARTOGNE,BRESCIA,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ARVIER,AOSTA,VALLE D'AOSTA,AOSTA
1987-06-14,ARZACHENA,SASSARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARZAGO D'ADDA,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ARZANA,NUORO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ARZANO,NAPOLI,CAMPANIA,NAPOLI-CASERTA
1987-06-14,ARZENE,PORDENONE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ARZERGRANDE,PADOVA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ARZIGNANO,VICENZA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ASCEA,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ASCIANO,SIENA,TOSCANA,SIENA-AREZZO-GROSSETO
1987-06-14,ASCOLI PICENO,ASCOLI PICENO,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,ASCOLI SATRIANO,FOGGIA,PUGLIA,BARI-FOGGIA
1987-06-14,ASCREA,RIETI,LAZIO,PERUGIA-TERNI-RIETI
1987-06-14,ASIAGO,VICENZA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ASIGLIANO VENETO,VICENZA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ASIGLIANO VERCELLESE,VERCELLI,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ASOLA,MANTOVA,LOMBARDIA,MANTOVA-CREMONA
1987-06-14,ASOLO,TREVISO,VENETO,VENEZIA-TREVISO
1987-06-14,ASSAGO,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,ASSEMINI,CAGLIARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ASSISI,PERUGIA,UMBRIA,PERUGIA-TERNI-RIETI
1987-06-14,ASSO,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ASSOLO,ORISTANO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ASSORO,ENNA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ASTI,ASTI,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ASUNI,ORISTANO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ATELETA,L'AQUILA,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ATELLA,POTENZA,BASILICATA,POTENZA-MATERA
1987-06-14,ATENA LUCANA,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ATESSA,CHIETI,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ATINA,FROSINONE,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ATRANI,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ATRI,TERAMO,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ATRIPALDA,AVELLINO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ATTIGLIANO,TERNI,UMBRIA,PERUGIA-TERNI-RIETI
1987-06-14,ATTIMIS,UDINE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ATZARA,NUORO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,AUDITORE,PESARO E URBINO,MARCHE,ANCONA-PESARO-MACERATA-ASCOLI PICENO
1987-06-14,AUGUSTA,SIRACUSA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,AULETTA,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,AULLA,MASSA CARRARA,TOSCANA,PISA-LIVORNO-LUCCA-MASSA CARRARA
1987-06-14,AURANO,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,AURIGO,IMPERIA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,AURONZO DI CADORE,BELLUNO,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,AUSONIA,FROSINONE,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,AUSTIS,NUORO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,AVEGNO,GENOVA,LIGURIA,GENOVA-IMPERIA-LA SPEZIA-SAVONA
1987-06-14,AVELENGO,BOLZANO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
